ticker,slot,entry_date,exit_date,entry_price,exit_price,shares,pnl_€,ret_%,hold_d,earned_mode,earned_date,pyramid_count,max_unreal_%,exit_reason,is_rotation,crisis_exit,crisis_date,setup
AME,2,2023-02-07,2023-02-08,142.73,143.47,28,-19.44,-0.48,1,False,,0,0.64,Rotation,True,False,,B
SYK,1,2023-02-02,2023-02-22,267.79,253.28,15,-257.67,-6.38,13,False,,0,2.42,ATR,False,False,,B
DD,2,2023-02-08,2023-02-22,30.28,28.66,135,-259.75,-6.32,9,False,,0,0.0,ATR,False,False,,B
LIN,1,2023-02-27,2023-03-10,331.81,331.76,11,-40.63,-1.11,9,False,,0,4.66,Crisis,False,True,2023-03-07,B
CRM,2,2023-03-03,2023-03-10,185.35,175.92,20,-228.63,-6.13,5,False,,0,0.0,Crisis,False,True,2023-03-07,B
CAG,1,2023-04-06,2023-04-17,32.72,31.47,114,-182.05,-4.85,6,False,,0,0.0,ATR,False,False,,B
LMT,1,2023-04-19,2023-04-24,463.11,445.02,7,-166.64,-5.11,3,False,,0,0.0,ATR,False,False,,B
PG,1,2023-04-24,2023-04-27,144.68,144.76,24,-38.21,-1.09,3,False,,0,0.75,Rotation,True,False,,B
MSFT,1,2023-04-27,2023-04-28,289.12,296.98,12,54.25,1.55,1,False,,0,2.99,Rotation,True,False,,B
SYK,2,2023-04-20,2023-05-04,290.09,276.38,12,-204.47,-5.84,10,False,,0,1.64,ATR,False,False,,B
GLD,2,2023-05-05,2023-05-10,186.56,188.98,18,3.56,0.11,3,False,,0,1.32,Rotation,True,False,,B
CRM,2,2023-05-10,2023-06-02,201.97,209.82,17,93.36,2.7,16,True,2023-05-18,0,9.0,Crisis,False,True,2023-05-24,B
META,1,2023-04-28,2023-06-08,237.15,258.59,14,260.18,7.79,28,True,2023-05-22,0,14.06,Crisis,False,True,2023-05-24,B
BA,1,2023-06-13,2023-06-15,222.35,217.17,16,-122.88,-3.43,2,False,,0,0.0,Rotation,True,False,,B
ISRG,1,2023-06-15,2023-07-25,322.24,322.76,11,-34.28,-0.96,26,True,2023-06-29,0,10.14,ATR,False,False,,B
BDX,1,2023-07-25,2023-07-26,207.02,211.17,17,30.54,0.86,1,False,,0,2.13,Rotation,True,False,,B
GE,1,2023-07-26,2023-08-03,92.09,87.92,38,-198.63,-5.64,6,False,,0,0.0,ATR,False,False,,B
AFL,1,2023-08-03,2023-08-07,72.17,72.68,47,-16.08,-0.47,2,False,,0,0.63,Rotation,True,False,,B
IR,2,2023-06-05,2023-08-17,61.34,66.86,57,274.95,7.82,51,True,2023-06-15,0,11.58,Crisis,False,True,2023-08-16,B
AMZN,1,2023-08-07,2023-08-17,140.99,135.46,24,-172.72,-5.07,8,False,,0,0.87,Crisis,False,True,2023-08-16,B
GOOGL,2,2023-08-30,2023-09-01,133.68,136.33,26,29.11,0.83,2,False,,0,1.03,Rotation,True,False,,B
ADBE,2,2023-09-01,2023-09-13,564.8,557.02,6,-86.68,-2.54,7,False,,0,0.01,Crisis,False,True,2023-09-05,B
GOOG,1,2023-08-30,2023-09-21,134.47,131.31,26,-122.01,-3.47,15,False,,0,2.52,Crisis,False,True,2023-09-05,B
PRU,2,2023-09-15,2023-09-22,87.08,86.02,39,-81.45,-2.38,5,False,,0,0.61,Crisis,False,True,2023-09-15,B
QCOM,2,2023-11-03,2023-11-07,111.7,113.5,30,13.98,0.41,2,False,,0,1.68,Rotation,True,False,,B
VRTX,2,2023-11-07,2023-11-16,377.38,350.72,8,-253.28,-8.33,7,False,,0,0.41,ATR,False,False,,B
WMT,2,2023-11-16,2023-11-24,51.5,50.33,61,-111.24,-3.52,5,False,,0,0.0,ATR,False,False,,B
SCHW,2,2023-11-30,2023-12-01,57.88,59.06,53,22.22,0.72,1,False,,0,2.78,Rotation,True,False,,B
AIG,1,2023-11-03,2023-12-08,60.66,62.16,55,42.36,1.26,24,False,,0,3.12,Rotation,True,False,,B
AMD,1,2023-12-08,2024-01-04,129.54,134.3,25,79.0,2.42,17,True,2023-12-12,0,14.84,ATR,False,False,,B
STZ,1,2024-01-08,2024-01-09,236.62,237.69,13,-26.12,-0.84,1,False,,0,0.75,Rotation,True,False,,B
NVDA,1,2024-01-09,2024-01-10,52.37,53.58,62,35.28,1.08,1,False,,0,1.41,Rotation,True,False,,B
PSX,2,2023-12-01,2024-01-11,118.95,120.28,26,-5.34,-0.17,27,True,2023-12-20,0,5.64,ATR,False,False,,B
CRWD,1,2024-01-10,2024-02-22,274.87,304.93,11,290.66,9.55,29,True,2024-01-12,0,21.71,ATR,False,False,,B
CTRA,1,2024-02-22,2024-02-23,23.96,24.43,143,26.38,0.77,1,False,,0,2.01,Rotation,True,False,,B
AVGO,1,2024-02-23,2024-03-12,127.67,127.54,26,-43.48,-1.3,12,True,2024-03-01,0,7.54,ATR,False,False,,B
XLB,1,2024-03-12,2024-03-15,43.31,43.22,78,-46.73,-1.38,3,False,,0,0.99,Rotation,True,False,,B
MSFT,1,2024-03-15,2024-03-18,412.95,407.99,8,-79.71,-2.4,1,False,,0,0.0,Rotation,True,False,,B
ISRG,2,2024-01-11,2024-04-16,364.45,376.63,9,69.62,2.11,65,True,2024-01-24,0,9.92,Crisis,False,True,2024-04-15,B
PSX,1,2024-03-18,2024-04-16,148.62,149.93,22,-11.28,-0.34,20,True,2024-04-02,0,8.34,Crisis,False,True,2024-04-15,B
PM,1,2024-04-24,2024-04-29,89.47,87.85,37,-99.85,-3.0,3,False,,0,2.29,Rotation,True,False,,B
BSX,2,2024-04-25,2024-07-19,73.13,76.9,46,133.42,3.94,58,True,2024-05-20,0,6.85,Crisis,False,True,2024-04-30,B
GOOG,1,2024-04-29,2024-07-19,169.38,179.1,19,144.78,4.47,56,True,2024-05-20,0,12.95,Crisis,False,True,2024-04-30,B
ALL,1,2024-07-19,2024-07-24,171.64,168.81,20,-96.46,-2.79,3,False,,0,0.0,Rotation,True,False,,B
GE,1,2024-07-24,2024-07-25,169.75,161.64,20,-202.33,-5.92,1,False,,0,0.0,ATR,False,False,,B
ISRG,2,2024-07-22,2024-07-26,462.33,438.6,7,-206.11,-6.33,4,False,,0,0.0,ATR,False,False,,B
ABBV,2,2024-07-26,2024-08-06,173.01,174.88,18,-6.39,-0.2,7,True,2024-08-02,0,3.41,Crisis,False,True,2024-08-05,B
RTX,1,2024-07-26,2024-08-07,110.32,110.65,29,-30.45,-0.95,8,False,,0,3.1,Crisis,False,True,2024-08-05,B
SBUX,2,2024-08-14,2024-08-16,91.21,89.81,35,-89.05,-2.77,2,False,,0,0.0,Rotation,True,False,,B
VTR,1,2024-08-07,2024-10-11,54.5,59.62,58,257.11,8.08,46,True,2024-08-09,0,14.15,Crisis,False,True,2024-08-07,B
FAST,1,2024-10-14,2024-10-18,37.27,37.72,88,-0.36,-0.01,4,False,,0,1.08,Rotation,True,False,,B
TRV,1,2024-10-18,2024-10-23,262.77,252.71,12,-160.67,-5.06,3,False,,0,0.0,Rotation,True,False,,B
PM,1,2024-10-23,2024-11-07,123.07,119.8,26,-124.93,-3.88,11,False,,0,2.17,ATR,False,False,,B
ORCL,1,2024-11-07,2024-12-11,178.2,175.17,17,-91.53,-3.0,23,True,2024-11-08,0,6.27,ATR,False,False,,B
WMT,2,2024-08-16,2024-12-19,71.7,93.39,76,877.45,14.15,87,True,2024-08-22,1,31.64,Crisis,False,True,2024-12-13,B
META,2,2025-01-27,2025-02-25,624.11,663.31,5,156.01,4.97,20,True,2025-01-28,0,17.56,ATR,False,False,,B
BRK-B,2,2025-02-25,2025-03-03,503.15,516.22,7,51.49,1.45,4,False,,0,2.12,Rotation,True,False,,B
V,2,2025-03-03,2025-03-07,360.3,338.34,10,-259.66,-7.17,4,False,,0,0.0,ATR,False,False,,B
ABT,1,2025-01-24,2025-03-12,119.58,129.04,29,234.4,6.72,32,True,2025-01-27,0,14.38,Crisis,False,True,2025-03-11,B
FAST,2,2025-03-07,2025-03-12,37.93,37.78,92,-53.97,-1.54,3,True,2025-03-10,0,3.27,Crisis,False,True,2025-03-11,B
EXC,1,2025-04-01,2025-04-07,44.19,43.44,81,-100.23,-2.78,4,True,2025-04-03,0,3.21,Crisis,False,True,2025-04-03,B
AIG,2,2025-04-01,2025-04-07,85.06,76.07,42,-417.5,-11.62,4,False,,0,0.86,Crisis,False,True,2025-04-03,B
HYG,1,2025-05-13,2025-05-21,75.28,74.99,44,-52.52,-1.58,6,False,,0,0.11,Rotation,True,False,,B
D,1,2025-05-21,2025-06-02,55.12,54.52,59,-75.42,-2.31,7,False,,0,0.0,Rotation,True,False,,B
CME,1,2025-06-02,2025-06-05,277.48,267.64,11,-148.28,-4.83,3,False,,0,0.91,ATR,False,False,,B
MNST,2,2025-05-19,2025-07-10,62.85,59.57,53,-213.84,-6.38,35,False,,0,2.21,ATR,False,False,,B
SLV,2,2025-07-14,2025-07-28,35.22,34.65,87,-89.59,-2.9,10,False,,0,1.42,Rotation,True,False,,B
EWY,1,2025-06-05,2025-08-04,63.89,70.79,48,290.97,9.43,40,True,2025-06-12,0,13.07,ATR,False,False,,B
D,1,2025-08-04,2025-08-25,58.66,59.2,54,-10.75,-0.34,15,False,,0,2.41,Rotation,True,False,,B
CCL,1,2025-08-25,2025-09-08,30.97,31.55,103,20.49,0.64,9,False,,0,4.44,Rotation,True,False,,B
AVGO,1,2025-09-08,2025-09-30,340.8,328.8,9,-147.96,-4.79,16,True,2025-09-10,0,7.82,ATR,False,False,,B
NEM,2,2025-07-28,2025-10-22,64.29,82.68,86,785.89,12.47,61,True,2025-08-07,1,34.24,ATR,False,False,,B
KO,2,2025-10-22,2025-10-27,70.38,68.82,50,-117.91,-3.33,3,False,,0,0.0,Rotation,True,False,,B
K,1,2025-10-22,2025-10-28,70.38,69.09,50,-104.6,-2.96,4,False,,0,0.0,Rotation,True,False,,B
QCOM,1,2025-10-28,2025-10-29,181.83,179.92,18,-74.34,-2.26,1,False,,0,0.0,Rotation,True,False,,B
GD,2,2025-10-27,2025-11-04,350.71,337.83,9,-155.9,-4.91,6,False,,0,0.0,Rotation,True,False,,B
CTRA,2,2025-11-05,2025-11-06,25.4,25.6,128,-13.54,-0.41,1,False,,0,0.0,Rotation,True,False,,B
NVDA,1,2025-10-29,2025-11-07,207.96,184.88,16,-409.24,-12.23,7,False,,0,0.0,ATR,False,False,,B
MAR,1,2025-11-10,2025-11-18,290.87,282.01,10,-128.62,-4.39,6,False,,0,0.0,Rotation,True,False,,B
AMGN,2,2025-11-06,2025-12-09,314.66,319.61,10,9.46,0.3,22,True,2025-11-11,0,9.03,Crisis,False,True,2025-11-20,B
EWL,2,2025-12-11,2025-12-16,58.47,59.29,51,1.82,0.06,3,False,,0,1.01,Rotation,True,False,,B
HOLX,2,2025-12-16,2025-12-19,75.06,75.0,40,-42.4,-1.4,3,False,,0,0.0,Rotation,True,False,,B
JNJ,1,2025-11-18,2026-01-06,196.71,203.52,14,55.33,1.99,32,True,2025-11-21,0,8.3,Crisis,False,True,2025-11-20,B
AMAT,1,2026-01-06,2026-02-05,285.07,299.7,10,106.22,3.7,21,True,2026-01-09,0,19.59,ATR,False,False,,B
UPS,1,2026-02-05,2026-02-06,114.4,114.7,26,-32.31,-1.08,1,False,,0,0.47,Rotation,True,False,,B
FDX,2,2025-12-19,2026-03-09,270.96,351.61,11,847.13,28.23,52,True,2025-12-19,0,42.79,ATR,False,False,,B
TPR,1,2026-02-06,2026-03-13,145.04,143.54,21,-71.52,-2.33,24,True,2026-02-09,0,10.36,Crisis,False,True,2026-03-12,B
UNP,2,2026-04-24,2026-04-27,272.88,269.45,12,-81.16,-2.46,1,False,,0,0.0,Rotation,True,False,,B
NEE,1,2026-04-24,2026-04-27,97.24,94.83,35,-124.35,-3.63,1,False,,0,0.0,End,False,False,,B
BKR,2,2026-04-27,2026-04-27,70.0,68.38,48,-117.76,-3.48,0,False,,0,0.0,End,False,False,,B
